# [0]VOLTS  [1]isub_xnmos_d  [2]isub_xpmos_d 
 0.000000e+00  1.666818e-21  -2.815262e-06 
 1.000000e-02  4.395626e-21  -2.737635e-06 
 2.000000e-02  7.124433e-21  -2.660003e-06 
 3.000000e-02  9.853239e-21  -2.582367e-06 
 4.000000e-02  1.258204e-20  -2.504728e-06 
 5.000000e-02  1.531085e-20  -2.427085e-06 
 6.000000e-02  1.803965e-20  -2.349437e-06 
 7.000000e-02  2.076846e-20  -2.271786e-06 
 8.000000e-02  2.349726e-20  -2.194131e-06 
 9.000000e-02  2.622606e-20  -2.116472e-06 
 1.000000e-01  2.895486e-20  -2.038694e-06 
 1.100000e-01  7.047348e-20  -1.932772e-06 
 1.200000e-01  1.119919e-19  -1.826846e-06 
 1.300000e-01  1.535101e-19  -1.720913e-06 
 1.400000e-01  1.950282e-19  -1.614976e-06 
 1.500000e-01  2.365460e-19  -1.509034e-06 
 1.600000e-01  2.780636e-19  -1.403087e-06 
 1.700000e-01  3.195811e-19  -1.297134e-06 
 1.800000e-01  3.610983e-19  -1.191177e-06 
 1.900000e-01  4.026154e-19  -1.085214e-06 
 2.000000e-01  4.441322e-19  -9.793005e-07 
 2.100000e-01  7.083266e-19  -9.009154e-07 
 2.200000e-01  9.725118e-19  -8.225284e-07 
 2.300000e-01  1.236688e-18  -7.441394e-07 
 2.400000e-01  1.500855e-18  -6.657485e-07 
 2.500000e-01  1.765012e-18  -5.873555e-07 
 2.600000e-01  2.029161e-18  -5.089606e-07 
 2.700000e-01  2.293300e-18  -4.305636e-07 
 2.800000e-01  2.557430e-18  -3.521647e-07 
 2.900000e-01  2.821551e-18  -2.737638e-07 
 3.000000e-01  3.085663e-18  -1.953846e-07 
 3.100000e-01  3.294026e-18  -1.774578e-07 
 3.200000e-01  3.502381e-18  -1.595310e-07 
 3.300000e-01  3.710729e-18  -1.416041e-07 
 3.400000e-01  3.919070e-18  -1.236771e-07 
 3.500000e-01  4.127403e-18  -1.057500e-07 
 3.600000e-01  4.335729e-18  -8.782277e-08 
 3.700000e-01  4.544048e-18  -6.989545e-08 
 3.800000e-01  4.752359e-18  -5.196803e-08 
 3.900000e-01  4.960663e-18  -3.404051e-08 
 4.000000e-01  5.168960e-18  -1.611343e-08 
 4.100000e-01  5.210356e-18  -1.459724e-08 
 4.200000e-01  5.251751e-18  -1.308105e-08 
 4.300000e-01  5.293147e-18  -1.156485e-08 
 4.400000e-01  5.334541e-18  -1.004866e-08 
 4.500000e-01  5.375936e-18  -8.532468e-09 
 4.600000e-01  5.417330e-18  -7.016275e-09 
 4.700000e-01  5.458724e-18  -5.500080e-09 
 4.800000e-01  5.500117e-18  -3.983885e-09 
 4.900000e-01  5.541510e-18  -2.467690e-09 
 5.000000e-01  5.582953e-18  -9.514961e-10 
 5.100000e-01  5.593912e-18  -8.616077e-10 
 5.200000e-01  5.604944e-18  -7.717192e-10 
 5.300000e-01  5.615993e-18  -6.818308e-10 
 5.400000e-01  5.627041e-18  -5.919423e-10 
 5.500000e-01  5.638090e-18  -5.020539e-10 
 5.600000e-01  5.649138e-18  -4.121654e-10 
 5.700000e-01  5.660186e-18  -3.222770e-10 
 5.800000e-01  5.671235e-18  -2.323886e-10 
 5.900000e-01  5.682278e-18  -1.425001e-10 
 6.000000e-01  5.693332e-18  -5.261165e-11 
 6.100000e-01  5.712497e-18  -4.764082e-11 
 6.200000e-01  5.731671e-18  -4.266998e-11 
 6.300000e-01  5.750840e-18  -3.769915e-11 
 6.400000e-01  5.769904e-18  -3.272831e-11 
 6.500000e-01  5.789073e-18  -2.775748e-11 
 6.600000e-01  5.808243e-18  -2.278664e-11 
 6.700000e-01  5.827412e-18  -1.781581e-11 
 6.800000e-01  5.846581e-18  -1.284497e-11 
 6.900000e-01  5.865698e-18  -7.874135e-12 
 7.000000e-01  5.884867e-18  -2.903299e-12 
 
 0.000000e+00  9.673231e-11  -2.230403e-06 
 1.000000e-02  2.607762e-10  -2.187313e-06 
 2.000000e-02  4.248200e-10  -2.144221e-06 
 3.000000e-02  5.888638e-10  -2.101128e-06 
 4.000000e-02  7.529077e-10  -2.058033e-06 
 5.000000e-02  9.169516e-10  -2.014937e-06 
 6.000000e-02  1.080995e-09  -1.971839e-06 
 7.000000e-02  1.245039e-09  -1.928739e-06 
 8.000000e-02  1.409083e-09  -1.885638e-06 
 9.000000e-02  1.573127e-09  -1.842535e-06 
 1.000000e-01  1.737171e-09  -1.799283e-06 
 1.100000e-01  4.411700e-09  -1.715213e-06 
 1.200000e-01  7.086234e-09  -1.631139e-06 
 1.300000e-01  9.760765e-09  -1.547061e-06 
 1.400000e-01  1.243529e-08  -1.462978e-06 
 1.500000e-01  1.510981e-08  -1.378891e-06 
 1.600000e-01  1.778433e-08  -1.294800e-06 
 1.700000e-01  2.045885e-08  -1.210705e-06 
 1.800000e-01  2.313336e-08  -1.126605e-06 
 1.900000e-01  2.580787e-08  -1.042501e-06 
 2.000000e-01  2.848237e-08  -9.584079e-07 
 2.100000e-01  5.184929e-08  -8.819126e-07 
 2.200000e-01  7.521703e-08  -8.054153e-07 
 2.300000e-01  9.858440e-08  -7.289160e-07 
 2.400000e-01  1.219514e-07  -6.524146e-07 
 2.500000e-01  1.453180e-07  -5.759112e-07 
 2.600000e-01  1.686843e-07  -4.994058e-07 
 2.700000e-01  1.920502e-07  -4.228983e-07 
